date,ilosc,articles,customers,year,month,day,day_of_year,week_of_year,quarter,season,month_sin,month_cos,day_sin,day_cos,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,quarter_sin,quarter_cos,season_sin,season_cos,is_last_days,is_weak_month,is_saturday,is_first_days,ilosc_log,ilosc_log_std,customers_log,customers_log_std,articles_log,articles_log_std
2022-01-19,191.828,431,46,2022,1,19,19,3,1,1,0.49999999999999994,0.8660254037844387,-0.743144825477394,-0.6691306063588585,0.3212696616923644,0.9469877530760753,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.261798599847617,-0.5523096025266312,3.8501476017100584,-0.530894179949013,6.068425588244111,-0.5894008683117572
2022-01-20,2824.822,1557,46,2022,1,20,20,3,1,1,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.3375228995941133,0.9413173175128471,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,7.946554574707304,2.0422484089151824,3.8501476017100584,-0.530894179949013,7.351158226430694,1.1704500374704778
2022-01-21,2232.1,1263,55,2022,1,21,21,3,1,1,0.49999999999999994,0.8660254037844387,-0.9510565162951535,-0.30901699437494756,0.3536761221763716,0.9353679493131483,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,7.7111460336408415,1.8147487322573288,4.02535169073515,-0.07751478152533213,7.142036574706803,0.8835446315822757
2022-01-24,454.15500000000003,977,54,2022,1,24,24,4,1,1,0.49999999999999994,0.8660254037844387,-0.9510565162951536,0.30901699437494723,0.401487989205973,0.9158642882672872,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,6.120638020280391,0.2776759602924837,4.007333185232471,-0.12414165667850406,6.885509670034818,0.531601372242803
2022-01-25,1137.708,957,65,2022,1,25,25,4,1,1,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.4171936026123168,0.9088176373395029,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,7.037649565347338,1.1638792775092106,4.189654742026425,0.34765576653730834,6.86484777797086,0.5032541949889869
2022-01-26,135.694,472,58,2022,1,26,26,4,1,1,0.49999999999999994,0.8660254037844387,-0.743144825477394,0.6691306063588585,0.4327755925504312,0.901501684131884,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,4.91774485103291,-0.8848044060442732,4.07753744390572,0.057527417035292655,6.159095388491933,-0.4650060214488884
2022-01-27,568.412,785,51,2022,1,27,27,4,1,1,0.49999999999999994,0.8660254037844387,-0.5877852522924734,0.8090169943749473,0.4482293417404106,0.893918596519257,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,6.344604249437462,0.49411774479480186,3.9512437185814275,-0.2692855787733442,6.666956792429207,0.23175675290007539
2022-01-28,373.49,424,53,2022,1,28,28,4,1,1,0.49999999999999994,0.8660254037844387,-0.40673664307580015,0.913545457642601,0.4635502709028509,0.886070621534138,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1,0,0,0,5.925565100331069,0.08915677567783283,3.9889840465642745,-0.17162411840226158,6.052089168924417,-0.611813693464195
2022-01-29,285.09,1,1,2022,1,29,29,4,1,1,0.49999999999999994,0.8660254037844387,-0.20791169081775898,0.9781476007338057,0.47873384011578846,0.8779600847008882,0.46354991987510047,0.8860708051751779,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1,0,1,0,5.656306446631499,-0.17105577386040563,0.6931471805599453,-8.700332232044728,0.6931471805599453,-7.964038647832174
2022-01-31,3785.288,2847,112,2022,1,31,31,5,1,1,0.49999999999999994,0.8660254037844387,0.2079116908177585,0.9781476007338058,0.5086709438521044,0.8609610158889943,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,8.2391413986067,2.3250053876123493,4.727387818712341,1.739159242152315,7.954372272531867,1.9980323050523394
2022-02-01,44.421,127,20,2022,2,1,32,5,1,1,0.8660254037844386,0.5000000000000001,0.20791169081775931,0.9781476007338057,0.5234156073655503,0.8520775211013093,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,3.8159745531677647,-1.9495592589481927,3.044522437723423,-2.615627785401175,4.852030263919617,-2.2582399931414154
2022-02-02,239.343,523,56,2022,2,2,33,5,1,1,0.8660254037844386,0.5000000000000001,0.40673664307580015,0.9135454576426009,0.5380051715382996,0.8429415373547828,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,5.4820670697219684,-0.33944134614426213,4.04305126783455,-0.031713204277151616,6.261491684321042,-0.3245229553764774
2022-02-03,250.172,499,51,2022,2,3,34,5,1,1,0.8660254037844386,0.5000000000000001,0.5877852522924731,0.8090169943749475,0.5524353131676196,0.8335557718385699,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,5.526137963413209,-0.2968510729988658,3.9512437185814275,-0.2692855787733442,6.214608098422191,-0.3888451053352204
2022-02-04,274.261,504,55,2022,2,4,35,5,1,1,0.8660254037844386,0.5000000000000001,0.7431448254773941,0.6691306063588582,0.5667017562911176,0.8239230057575542,0.5667013482820781,0.8239232863897432,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,5.617719738473655,-0.20834611001147182,4.02535169073515,-0.07751478152533213,6.22455842927536,-0.3751937034425098
2022-02-07,200.226,505,53,2022,2,7,38,6,1,1,0.8660254037844386,0.5000000000000001,0.9945218953682733,0.10452846326765346,0.6084768701151261,0.7935716089521474,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.304428654528886,-0.5111117614799155,3.9889840465642745,-0.17162411840226158,6.226536669287466,-0.37247964801621275
2022-02-08,283.101,628,56,2022,2,8,39,6,1,1,0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765333,0.6220467484408675,0.7829801036770629,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.649329808741311,-0.1777980222809016,4.04305126783455,-0.031713204277151616,6.444131256700441,-0.07394975928320652
2022-02-09,192.491,501,53,2022,2,9,40,6,1,1,0.8660254037844386,0.5000000000000001,0.9510565162951536,-0.30901699437494734,0.6354323008901774,0.7721565844991642,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.26523099976023,-0.5489925186742679,3.9889840465642745,-0.17162411840226158,6.218600119691729,-0.383368233508657
2022-02-10,147.407,418,54,2022,2,10,41,6,1,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.6486295610349814,0.7611042586607747,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,4.99995849943214,-0.8053528349884598,4.007333185232471,-0.12414165667850406,6.037870919922137,-0.6313204851684064
2022-02-11,108.732,233,37,2022,2,11,42,6,1,1,0.8660254037844386,0.5000000000000001,0.7431448254773945,-0.6691306063588579,0.6616346182422783,0.7498264012045686,0.6616341726628118,0.7498267943764056,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,4.698041029392698,-1.097126984304216,3.6375861597263857,-1.080944006016864,5.455321115357702,-1.4305523521265333
2022-02-14,269.399,407,40,2022,2,14,45,7,1,1,0.8660254037844386,0.5000000000000001,0.20791169081775931,-0.9781476007338057,0.699458327051647,0.7146733860429609,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.5998986459371185,-0.22556847913786243,3.713572066704308,-0.8843136363375668,6.0112671744041615,-0.6678196154261337
2022-02-15,192.712,505,53,2022,2,15,46,7,1,1,0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,0.7116566222817746,0.7025274741691571,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.266372519965384,-0.5478893493653104,3.9889840465642745,-0.17162411840226158,6.226536669287466,-0.37247964801621275
2022-02-16,34.255,91,20,2022,2,16,47,7,1,1,0.8660254037844386,0.5000000000000001,-0.20791169081775907,-0.9781476007338057,0.7236440382959124,0.6901733882429719,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,3.562607363171004,-2.1944142397353956,3.044522437723423,-2.615627785401175,4.5217885770490405,-2.7113165848369807
2022-02-17,520.013,970,67,2022,2,17,48,7,1,1,0.8660254037844386,0.5000000000000001,-0.4067366430758002,-0.9135454576426009,0.7354170229639855,0.6776147890466889,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,6.255774993457425,0.4082728263323464,4.219507705176107,0.424906922884628,6.878326468291325,0.5217463457794762
2022-02-18,158.899,434,43,2022,2,18,49,7,1,1,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475,0.7469720876965552,0.6648553979642865,0.7469716267628299,0.6648559158278518,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.07454236591166,-0.7332747131364884,3.784189633918261,-0.7015750352024028,6.075346031088684,-0.5799063351207608
2022-02-21,1470.976,1629,58,2022,2,21,52,8,1,1,0.8660254037844386,0.5000000000000001,-0.9510565162951535,-0.30901699437494756,0.7802958510707755,0.6254105729852463,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,7.294360994808078,1.4119661435681836,4.07753744390572,0.057527417035292655,7.396335293800808,1.2324309215339553
2022-02-22,253.04500000000002,706,47,2022,2,22,53,8,1,1,0.8660254037844386,0.5000000000000001,-0.9945218953682733,-0.10452846326765423,0.7909456567567772,0.6118864012687243,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.537511416680939,-0.2858597260869403,3.871201010907891,-0.476413819073908,6.561030665896573,0.08643091946061839
2022-02-23,197.574,529,55,2022,2,23,54,8,1,1,0.8660254037844386,0.5000000000000001,-0.9945218953682734,0.10452846326765299,0.8013610881746766,0.5981809144059165,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.291161826625866,-0.523932872576986,4.02535169073515,-0.07751478152533213,6.272877006546167,-0.3089028105122792
2022-02-24,262.327,658,60,2022,2,24,55,8,1,1,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,0.8115390590073611,0.5842981736283684,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.573396605870825,-0.25118014776526776,4.110873864173311,0.1437927904670463,6.490723534502507,-0.010027270799291532
2022-02-25,5276.154,3518,75,2022,2,25,56,8,1,1,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,0.8214761014852389,0.5702429435675759,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,8.571142216227903,2.645852194260892,4.330733340286331,0.7127278967909132,8.165932137321585,2.288282828500233
